('rust:serde', '1.0.204')
('rust:cast', '0.3.0')
('rust:winreg', '0.52.0')
('rust:indexmap', '2.2.6')
('rust:shell-words', '1.1.0')
('rust:zeroize', '1.8.1')
('rust:openssl-macros', '0.1.1')
('rust:filetime', '0.2.23')
('rust:gimli', '0.29.0')
('rust:anstyle', '1.0.7')
('rust:windows_aarch64_msvc', '0.52.6')
('rust:windows_i686_msvc', '0.48.5')
('rust:pin-project-internal', '1.1.5')
('rust:openssl-probe', '0.1.5')
('rust:ident_case', '1.0.1')
('rust:regex-lite', '0.1.6')
('rust:aes', '0.8.4')
('rust:dialoguer', '0.11.0')
('rust:digest', '0.10.7')
('rust:toml', '0.8.14')
('rust:tower-service', '0.3.2')
('rust:oorandom', '11.1.4')
('rust:tokio-rustls', '0.26.0')
('rust:crypto-common', '0.1.6')
('rust:http-body', '1.0.1')
('rust:equivalent', '1.0.1')
('rust:mio', '0.8.11')
('rust:doc-comment', '0.3.3')
('rust:hyper-rustls', '0.27.2')
('rust:quote', '1.0.36')
('rust:ammonia', '4.0.0')
('rust:hermit-abi', '0.3.9')
('rust:url', '2.5.2')
('rust:libm', '0.2.8')
('rust:windows_x86_64_msvc', '0.52.6')
('rust:opaque-debug', '0.3.1')
('rust:jobserver', '0.1.31')
('rust:tikv-jemalloc-sys', '0.6.0+5.3.0-1-ge13ca993e8ccb9ba9847cc330696e02839f328f7')
('rust:sentry-tracing', '0.34.0')
('rust:tokio-util', '0.7.11')
('rust:atomic-waker', '1.1.2')
('rust:serde_spanned', '0.6.6')
('rust:never', '0.1.0')
('rust:unicode-xid', '0.2.4')
('rust:encoding_rs', '0.8.34')
('rust:downcast', '0.11.0')
('rust:anstyle-wincon', '3.0.3')
('rust:pest_meta', '2.7.11')
('rust:diesel_migrations', '2.2.0')
('rust:zstd', '0.13.2')
('rust:base64-simd', '0.8.0')
