('rust:curve25519-dalek-derive', '0.1.1')
('rust:subtle', '>= 2.5.0,< 3.0.0')
('rust:zeroize', '1.7.0')
('npm:lru-cache', '7.18.3')
('rubygems:regexp_parser', '2.5.0')
('rust:line-wrap', '0.2.0')
('rust:phf_generator', '0.8.0')
('npm:resolve-from', '4.0.0')
('rust:rand', '0.8.5')
('npm:debug', '4.3.5')
('npm:function-bind', '1.1.1')
('rust:webview2-com-sys', '0.19.0')
('rubygems:json', '2.6.2')
('rust:test-strategy', '>= 0.3.1,< 0.4.0')
('npm:esbuild-linux-arm64', '0.15.18')
('rust:tracing-appender', '0.2.3')
('rust:tendril', '0.4.3')
('actions:taiki-e/install-action', 'cargo-udeps')
('npm:imurmurhash', '0.1.4')
('rust:android_system_properties', '0.1.5')
('rust:git-version', '0.3.9')
('actions:actions/checkout', '4.*.*')
('rust:mach2', '0.4.2')
('npm:path-exists', '4.0.0')
('npm:async-foreach', '0.1.3')
('rust:tracing-log', '>= 0.2.0,< 0.3.0')
('rust:glib-macros', '0.15.13')
('rust:serde_urlencoded', '0.7.1')
('rust:block-buffer', '0.10.4')
('rust:java-locator', '0.1.5')
('rust:windows-core', '>= 0.57.0,< 0.58.0')
('npm:ms', '2.1.3')
('rust:rand_chacha', '0.2.2')
('rust:hyper-util', '0.1.3')
('rubygems:tty-box', '0.7.0')
('npm:arg', '4.1.3')
('rust:tar', '0.4.40')
('rust:hashbrown', '0.12.3')
('rust:windows_x86_64_msvc', '0.37.0')
('rubygems:mixlib-install', '3.12.19')
('npm:chownr', '2.0.0')
('rust:windows_x86_64_gnu', '0.48.5')
('rubygems:wmi-lite', '1.0.7')
('rust:atomicwrites', '>= 0.4.3,< 0.5.0')
('rust:javascriptcore-rs', '0.16.0')
('rust:opentelemetry', '0.22.0')
('rust:phf_generator', '0.10.0')
('rust:image', '0.24.9')
('rust:tokio-rustls', '0.25.0')
('rust:dirs-next', '2.0.0')
('npm:@fortawesome/fontawesome-free', '5.15.4')
('npm:buffer-from', '1.1.2')
('rust:futures-sink', '0.3.30')
('rust:keyring', '2.3.3')
('rubygems:parslet', '1.8.2')
('npm:sshpk', '1.17.0')
('npm:map-obj', '4.3.0')
('npm:picomatch', '2.3.1')
('rust:javascriptcore-rs-sys', '0.4.0')
('rust:clap_derive', '4.5.4')
('npm:map-obj', '1.0.1')
('rust:regex-automata', '0.1.10')
('rust:windows_i686_gnu', '0.37.0')
('npm:esbuild-sass-plugin', '2.4.5')
('rust:bytecodec', '>= 0.4.15,< 0.5.0')
('rust:windows_x86_64_gnullvm', '0.48.5')
('actions:docker/build-push-action', '6.*.*')
('npm:@babel/helper-validator-identifier', '7.19.1')
('npm:type-fest', '0.8.1')
('actions:actions/setup-node', '3')
('rust:x11rb', '0.13.0')
('npm:jsbn', '1.1.0')
('rust:polling', '3.6.0')
('rust:crossbeam-channel', '0.5.12')
('rust:fastrand', '2.0.2')
('npm:esbuild-linux-64', '0.15.18')
('rust:opentelemetry', '>= 0.22.0,< 0.23.0')
('rubygems:ohai', '17.9.0')
('npm:is-binary-path', '2.1.0')
('rust:quote', '1.0.35')
('rust:pin-utils', '0.1.0')
('npm:@esbuild/android-arm', '0.15.18')
('rust:arboard', '>= 3.4.0,< 4.0.0')
('rust:lazy_static', '1.4.0')
('rust:foreign-types-shared', '0.3.1')
('rust:netlink-packet-route', '0.19.0')
('npm:meow', '9.0.0')
('rust:proc-macro-crate', '1.3.1')
('rubygems:rubocop', '1.52.1')
('rust:num-derive', '0.4.2')
('rust:futures-bounded', '0.2.3')
('rubygems:sawyer', '0.9.2')
('rust:windows_x86_64_msvc', '0.42.2')
('rust:stun_codec', '>= 0.3.4,< 0.4.0')
('npm:phoenix', '1.7.0-rc.0')
('rust:http-body', '0.4.6')
('rust:error-code', '3.2.0')
('npm:@esbuild/linux-loong64', '0.15.18')
('rust:serialize-to-javascript-impl', '0.1.1')
('rust:resolv-conf', '>= 0.7.0,< 0.8.0')
('npm:@mdi/font', '6.9.96')
('rust:jni', '>= 0.21.1,< 0.22.0')
('rust:crossbeam-utils', '0.8.20')
('npm:combined-stream', '1.0.8')
('npm:agentkeepalive', '4.2.1')
('rubygems:gyoku', '1.4.0')
('rust:displaydoc', '0.2.4')
('rubygems:ed25519', '1.3.0')
('rust:hmac', '0.12.1')
('npm:are-we-there-yet', '3.0.1')
('rust:windows_i686_gnu', '0.42.2')
('rust:scopeguard', '1.2.0')
('npm:is-glob', '4.0.3')
('rust:gethostname', '0.4.3')
('npm:yargs-parser', '21.1.1')
('rust:sha2', '>= 0.10.8,< 0.11.0')
('rust:async-process', '1.8.1')
('npm:trim-newlines', '3.0.1')
('npm:callsites', '3.1.0')
('actions:actions/github-script', '7.*.*')
('rubygems:contracts', '0.16.1')
('npm:@fontsource/open-sans', '4.5.13')
('npm:jsbn', '0.1.1')
('rust:phf', '0.11.2')
('rust:powerfmt', '0.2.0')
('npm:binary-extensions', '2.2.0')
('npm:error-ex', '1.3.2')
('rust:pnet_base', '0.34.0')
('rust:tracing-core', '0.1.32')
('rust:urlencoding', '2.1.3')
('npm:zod', '3.23.8')
('npm:cosmiconfig', '9.0.0')
('rust:simd-adler32', '0.3.7')
('npm:tar', '6.1.13')
('npm:camelcase', '5.3.1')
('rubygems:chef', '~> 17.10.0')
('npm:hosted-git-info', '2.8.9')
('rust:addr2line', '0.21.0')
('rubygems:faraday_middleware', '1.2.0')
('rust:system-info', '>= 0.1.2,< 0.2.0')
('rust:cpufeatures', '0.2.12')
('rust:async-io', '2.3.2')
('npm:mime-db', '1.52.0')
('npm:fs-extra', '11.2.0')
('rust:aead', '0.5.2')
('rust:str0m', '0.5.1')
('rust:pnet_packet', '0.34.0')
('actions:TimonVS/pr-labeler-action', '4')
('rust:flate2', '1.0.30')
('npm:@babel/highlight', '7.18.6')
('npm:source-map', '0.7.4')
('rust:tracing', '0.1.40')
('rust:dns-lookup', '2.0.4')
('rust:android_log-sys', '>= 0.3.1,< 0.4.0')
('npm:spdx-correct', '3.1.1')
('npm:get-caller-file', '2.0.5')
('rubygems:chef-zero', '15.0.11')
('npm:@babel/code-frame', '7.24.2')
('npm:proxy-from-env', '1.1.0')
('rust:wasm-bindgen-futures', '0.4.42')
('rust:percent-encoding', '2.3.1')
('rubygems:parallel', '1.22.1')
('rust:hyper-timeout', '0.4.1')
('npm:minimist-options', '4.1.0')
('actions:github/codeql-action/init', '3.*.*')
('actions:actions/cache', '4.*.*')
('rust:reqwest', '0.12.4')
('rubygems:strings-ansi', '0.2.0')
('npm:abbrev', '1.1.1')
('rubygems:corefoundation', '0.3.13')
('npm:bare-path', '2.1.3')
('rubygems:aws-eventstream', '1.2.0')
('rust:strsim', '0.11.0')
('npm:ansi-styles', '4.3.0')
('rust:serde_assert', '0.7.1')
('rust:subtle', '2.5.0')
('rust:futures-lite', '2.3.0')
('rust:idna', '0.5.0')
('npm:is-core-module', '2.11.0')
('rust:axum', '0.7.5')
('npm:yargs-parser', '18.1.3')
('npm:reduce-flatten', '2.0.0')
('npm:glob', '7.2.3')
('npm:array-back', '4.0.2')
('rubygems:strings', '0.2.1')
('rust:bit-vec', '0.6.3')
('rust:tauri-build', '1.5.1')
('rust:generic-array', '0.14.7')
('npm:p-limit', '2.3.0')
('rubygems:octokit', '4.25.1')
('rust:foreign-types', '0.3.2')
('rust:glib-sys', '0.15.10')
('rust:web-time', '1.1.0')
('npm:fs-minipass', '2.1.0')
('rust:windows_x86_64_msvc', '0.48.5')
('npm:wordwrapjs', '4.0.1')
('rust:serde_with', '3.7.0')
('rust:objc2-foundation', '0.2.0')
('rust:pango', '0.15.10')
('rust:derivative', '2.2.0')
('npm:netmask', '2.0.2')
('npm:minipass-flush', '1.0.5')
('npm:text-decoder', '1.1.0')
('rubygems:public_suffix', '5.0.0')
('npm:gaze', '1.1.3')
('npm:yauzl', '2.10.0')
('npm:bare-stream', '2.1.3')
('npm:bare-fs', '2.3.1')
('rust:netlink-proto', '0.11.3')
('rust:unarray', '0.1.4')
('rust:smallvec', '0.6.14')
('rust:windows_x86_64_gnu', '0.39.0')
('npm:shebang-regex', '3.0.0')
('rust:mio', '>= 0.8.11,< 0.9.0')
('rust:cssparser-macros', '0.6.1')
('rust:mime', '0.3.17')
('rust:mac', '0.1.1')
('rust:windows_i686_gnu', '0.48.5')
('npm:bulma-radio', '1.2.0')
('npm:has-flag', '3.0.0')
('npm:p-locate', '4.1.0')
('rust:glob', '0.3.1')
('rust:gdk-pixbuf', '0.15.11')
('npm:normalize-package-data', '2.5.0')
