('npm:chalk', '3.0.0')
('nuget:AspNetCore.HealthChecks.Kafka', '3.0.0')
('npm:p-locate', '5.0.0')
('npm:ws', '7.5.10')
('npm:@babel/preset-modules', '0.1.6-no-external-plugins')
('npm:has-proto', '1.0.3')
('npm:merge-stream', '2.0.0')
('npm:vary', '1.1.2')
('npm:rfdc', '1.3.0')
('npm:glob', '10.4.2')
('npm:@vue/reactivity-transform', '3.2.45')
('npm:blocking-proxy', '1.0.1')
('npm:jasmine-spec-reporter', '7.0.0')
('actions:SonarSource/sonarcloud-github-action', 'master')
('npm:eslint-config-standard', '17.0.0')
('npm:wbuf', '1.7.3')
('npm:@babel/core', '7.24.5')
('npm:webpack-bundle-analyzer', '4.7.0')
('npm:@rollup/plugin-babel', '5.3.1')
('npm:@types/express-serve-static-core', '4.17.31')
('npm:functions-have-names', '1.2.3')
('npm:@vue/eslint-config-typescript', '11.0.2')
('npm:utila', '0.4.0')
('npm:@types/eslint-scope', '3.7.4')
('npm:cssnano', '5.1.14')
('nuget:Microsoft.EntityFrameworkCore.SqlServer', '6.0.0')
('npm:is-array-buffer', '3.0.4')
('npm:@esbuild/sunos-x64', '0.21.3')
('npm:@typescript-eslint/typescript-estree', '7.13.1')
('npm:path-key', '3.1.1')
('npm:css-declaration-sorter', '6.3.1')
('npm:@webassemblyjs/wasm-gen', '1.12.1')
('npm:@babel/helpers', '7.20.6')
('npm:@angular/core', '9.0.0')
('npm:vue-toastr', '2.1.2')
('npm:@types/http-proxy', '1.17.14')
('npm:find-up', '5.0.0')
('npm:semver', '7.6.2')
('npm:json5', '1.0.1')
('npm:workbox-routing', '6.5.4')
('npm:hasown', '2.0.0')
('npm:@rollup/rollup-linux-x64-musl', '4.18.0')
('npm:is-string', '1.0.7')
('npm:eventsource', '2.0.2')
('npm:regexpu-core', '5.2.2')
('npm:find-cache-dir', '3.3.2')
('npm:@typescript-eslint/eslint-plugin', '5.47.0')
('npm:ajv-keywords', '3.5.2')
('nuget:Microsoft.AspNetCore.Components.Authorization', '8.0.0')
('npm:inherits', '2.0.3')
('npm:eslint-visitor-keys', '3.3.0')
('npm:fast-levenshtein', '2.0.6')
('npm:@babel/plugin-transform-function-name', '7.24.7')
('npm:rimraf', '2.7.1')
('npm:dom-converter', '0.2.0')
('npm:jasminewd2', '2.2.0')
('npm:smart-buffer', '4.2.0')
('npm:define-properties', '1.1.4')
('npm:es-to-primitive', '1.2.1')
('npm:inflight', '1.0.6')
('npm:jsonfile', '6.1.0')
('npm:@babel/plugin-transform-computed-properties', '7.18.9')
('npm:validate-npm-package-license', '3.0.4')
('npm:inherits', '2.0.4')
('npm:is-fullwidth-code-point', '2.0.0')
('npm:oidc-client-ts', '3.0.1')
('npm:copy-webpack-plugin', '9.1.0')
('npm:@swc/core-linux-x64-musl', '1.6.3')
('npm:@babel/helper-split-export-declaration', '7.18.6')
('npm:@babel/plugin-syntax-json-strings', '7.8.3')
('nuget:xunit.runner.visualstudio', '2.5.5')
('npm:@esbuild/linux-riscv64', '0.20.2')
('npm:fs-minipass', '3.0.3')
('npm:express', '4.19.2')
('npm:text-table', '0.2.0')
('npm:espree', '9.4.1')
('npm:fs-extra', '8.1.0')
('npm:redux-saga', '1.3.0')
('npm:finalhandler', '1.2.0')
('npm:ts-node', '10.9.2')
('npm:register-service-worker', '1.7.2')
('nuget:Microsoft.AspNetCore.SignalR.Client', '3.1.0')
('npm:@ungap/structured-clone', '1.2.0')
('npm:make-fetch-happen', '13.0.1')
('npm:psl', '1.9.0')
('npm:kind-of', '6.0.3')
('npm:@typescript-eslint/type-utils', '5.47.0')
('npm:is-unicode-supported', '0.1.0')
('npm:@babel/plugin-syntax-optional-chaining', '7.8.3')
('npm:@types/estree', '1.0.5')
('npm:@babel/plugin-syntax-unicode-sets-regex', '7.18.6')
('nuget:AspNetCore.HealthChecks.UI', '7.0.2')
('npm:array-includes', '3.1.6')
('npm:uuid', '8.3.2')
('npm:@swc/helpers', '0.5.11')
('npm:icss-utils', '5.1.0')
('npm:strip-ansi', '6.0.1')
('npm:array-buffer-byte-length', '1.0.1')
('npm:estraverse', '5.3.0')
('npm:node-forge', '1.3.1')
('npm:@webassemblyjs/utf8', '1.11.1')
('nuget:MiniProfiler.EntityFrameworkCore', '4.2.22')
('npm:@babel/plugin-transform-block-scoping', '7.24.7')
('npm:@types/trusted-types', '2.0.2')
('npm:postcss-minify-params', '5.1.4')
('npm:buffer', '5.7.1')
('npm:@esbuild/darwin-arm64', '0.21.3')
('npm:@webassemblyjs/wasm-opt', '1.12.1')
('nuget:Microsoft.EntityFrameworkCore.Tools', '3.1.0')
('nuget:MiniProfiler.AspNetCore.Mvc', '4.3.8')
('npm:vite', '5.2.11')
('npm:ansi-escapes', '4.3.2')
('npm:@types/aria-query', '5.0.4')
('npm:shell-quote', '1.7.4')
('npm:base64-js', '1.5.1')
('npm:@swc/core-win32-ia32-msvc', '1.6.3')
('npm:@tufjs/canonical-json', '2.0.0')
('npm:cli-spinners', '2.9.0')
('npm:postcss-modules-extract-imports', '3.0.0')
('npm:damerau-levenshtein', '1.0.8')
('npm:@types/retry', '0.12.0')
('nuget:Serilog.Enrichers.Environment', '2.3.0')
('npm:typescript', '4.9.4')
('npm:shebang-command', '1.2.0')
('npm:css-tree', '1.1.3')
('npm:@esbuild/linux-riscv64', '0.21.5')
('npm:react-router', '6.23.1')
('npm:crypto-js', '4.2.0')
('npm:parse5-html-rewriting-stream', '7.0.0')
('npm:update-browserslist-db', '1.0.10')
('npm:@babel/plugin-proposal-optional-catch-binding', '7.18.6')
('npm:normalize-url', '6.1.0')
('npm:@types/node', '18.11.17')
('npm:bytes', '3.0.0')
('npm:@babel/helper-validator-identifier', '7.24.7')
('npm:workbox-expiration', '6.5.4')
('npm:levn', '0.4.1')
('nuget:Serilog', '2.10.0')
('npm:schema-utils', '2.7.1')
