('maven:org.eclipse.kapua:kapua-consumer-telemetry', '')
('maven:org.eclipse.kapua:kapua-account-api', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-datastore-internal', '')
('maven:org.eclipse.kapua:kapua-device-registry-test', '2.1.0-SNAPSHOT')
('maven:org.glassfish.jersey.containers:jersey-container-servlet', '2.38')
('maven:javax.batch:javax.batch-api', '')
('maven:org.eclipse.kapua:kapua-system-test-steps', '')
('maven:org.eclipse.kapua:kapua-rest-api-web', '')
('maven:io.netty:netty-all', '4.1.100')
('maven:org.eclipse.kapua:kapua-security-test-steps', '')
('actions:actions/upload-artifact', '3')
('maven:org.eclipse.kapua:kapua-client-security', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-device-management-command-internal', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-console-module-account', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-client-gateway-profile-kura', '2.1.0-SNAPSHOT')
('maven:org.elasticsearch:elasticsearch', '')
('maven:org.eclipse.kapua:kapua-device-management-all-job', '')
('maven:org.apache.maven.plugins:maven-release-plugin', '2.5.3')
('maven:org.eclipse.kapua:kapua-job-engine-app', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-console-module-certificate', '2.1.0-SNAPSHOT')
('maven:org.apache.activemq:apache-activemq', '')
('maven:org.apache.karaf.features:standard', '4.4.2')
('maven:org.checkerframework:checker-qual', '')
('maven:io.netty:netty', '3.10.6')
('maven:io.cucumber:cucumber-java', '6.11.0')
('maven:org.apache.commons:commons-lang3', '')
('maven:org.eclipse.persistence:javax.persistence', '')
('maven:io.netty:netty-transport-sctp', '4.1.100')
('maven:org.eclipse.kapua:kapua-assembly-java-base', '2.1.0-SNAPSHOT')
('maven:org.liquibase:liquibase-core', '3.6.3')
('maven:org.glassfish.hk2:hk2-api', '2.6.1')
('maven:commons-io:commons-io', '')
('maven:org.eclipse.kapua:kapua-device-management-configuration-message-api', '2.1.0-SNAPSHOT')
('maven:org.codehaus.mojo:exec-maven-plugin', '')
('maven:org.apache.maven.plugins:maven-shade-plugin', '')
('maven:org.codehaus.mojo:gwt-maven-plugin', '')
('maven:org.eclipse.kapua:kapua-device-management-keystore-internal', '2.1.0-SNAPSHOT')
('maven:org.apache.maven.plugins:maven-toolchains-plugin', '')
('maven:org.eclipse.kapua:kapua-commons-rest-filters', '2.1.0-SNAPSHOT')
('maven:org.apache.maven.plugins:maven-enforcer-plugin', '1.4.1')
('maven:org.springframework:spring-messaging', '5.3.23')
('maven:jakarta.xml.bind:jakarta.xml.bind-api', '2.3.3')
('maven:com.google.protobuf:protobuf-java', '')
('maven:org.eclipse.kapua:kapua-device-management-configuration-store-api', '')
('maven:org.eclipse.kapua:kapua-device-management-request-api', '')
('maven:org.eclipse.kapua:kapua-datastore-test', '2.1.0-SNAPSHOT')
('maven:org.eclipse.jetty:jetty-security', '9.4.53.v20231009')
('maven:org.eclipse.kapua:kapua-commons-rest-errors', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-security-authorization-api', '')
('maven:org.apache.camel.springboot:camel-spring-starter', '')
('maven:org.assertj:assertj-core', '3.2.0')
('maven:org.apache.maven.plugins:maven-dependency-plugin', '')
('maven:org.springframework.security:spring-security-core', '5.7.5')
('maven:org.eclipse.kapua:kapua-device-management-configuration-job', '2.1.0-SNAPSHOT')
('maven:org.glassfish.jersey.bundles:jaxrs-ri', '2.38')
('maven:org.apache.maven.plugins:maven-javadoc-plugin', '')
('maven:commons-fileupload:commons-fileupload', '')
('maven:com.allen-sauer.gwt.log:gwt-log', '3.1.8')
('maven:org.eclipse.kapua:kapua-device-management-asset-store-dummy', '2.1.0-SNAPSHOT')
('maven:org.apache.camel.springboot:camel-spring-boot-starter', '')
('maven:com.fasterxml.jackson.core:jackson-databind', '2.15.2')
('maven:org.eclipse.kapua:kapua-device-management-bundle-job', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-account-test', '')
('maven:org.mockito:mockito-core', '1.10.19')
('maven:org.eclipse.kapua:kapua-device-authentication', '2.1.0-SNAPSHOT')
('maven:org.springframework.security:spring-security-core', '')
('maven:org.apache.camel:spi-annotations', '')
('maven:org.ow2.asm:asm-tree', '9.4')
('maven:io.netty:netty-codec-memcache', '4.1.100')
('maven:org.eclipse.kapua:kapua-user-test', '')
('maven:org.eclipse.kapua:kapua-security-test', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-device-call-api', '')
('maven:org.eclipse.kapua:kapua-service-commons-utils-api', '')
('maven:org.eclipse.kapua:kapua-tag-api', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-stream-api', '')
('maven:javax.cache:cache-api', '')
('maven:org.eclipse.jetty:jetty-plus', '9.4.53.v20231009')
('maven:org.eclipse.kapua:kapua-qa-common', '')
('maven:org.slf4j:jul-to-slf4j', '')
('maven:commons-logging:commons-logging', '')
('maven:commons-beanutils:commons-beanutils', '1.9.4')
('maven:org.eclipse.kapua:kapua-message-api', '2.1.0-SNAPSHOT')
('maven:org.springframework:spring-jcl', '5.3.23')
('maven:org.eclipse.kapua:kapua-console-module-job', '')
('maven:org.springframework:spring-beans', '5.3.23')
('maven:org.eclipse.kapua:kapua-endpoint-api', '2.1.0-SNAPSHOT')
('maven:org.apache.felix:maven-bundle-plugin', '')
('maven:org.springframework.boot:spring-boot-starter-jetty', '')
