('npm:standard-as-callback', '2.0.1')
('npm:slugify', '1.3.6')
('npm:get-caller-file', '2.0.5')
('npm:character-parser', '2.2.0')
('npm:import-local', '3.0.2')
('npm:stealthy-require', '1.1.1')
('npm:@jest/fake-timers', '25.5.0')
('npm:@babel/plugin-syntax-bigint', '7.8.3')
('npm:spdx-correct', '3.0.0')
('npm:kareem', '2.3.1')
('npm:forever-agent', '0.6.1')
('npm:array-uniq', '1.0.3')
('npm:@babel/helper-module-imports', '7.8.3')
('npm:void-elements', '2.0.1')
('npm:is-wsl', '2.2.0')
('npm:is-typedarray', '1.0.0')
('npm:node-notifier', '6.0.0')
('npm:nuid', '1.1.0')
('npm:semver', '5.7.1')
('npm:node-fetch', '2.6.0')
('npm:es6-error', '4.1.1')
('npm:ignore', '4.0.6')
('npm:static-extend', '0.1.2')
('npm:realpath-native', '2.0.0')
('npm:nodemon', '2.0.2')
('npm:string-width', '2.1.1')
('npm:eslint-visitor-keys', '1.1.0')
('npm:event-emitter', '0.3.5')
('npm:test-exclude', '6.0.0')
('npm:is-retry-allowed', '1.1.0')
('npm:capture-stack-trace', '1.0.1')
('npm:jest-cli', '25.5.4')
('npm:tmp', '0.0.33')
('npm:anymatch', '3.1.1')
('npm:builtin-modules', '3.1.0')
('npm:shellwords', '0.1.1')
('npm:babel-messages', '6.23.0')
('npm:deps-regex', '0.1.4')
('npm:cross-spawn', '6.0.5')
('npm:has-flag', '4.0.0')
('npm:cli-spinners', '2.2.0')
('npm:pug-strip-comments', '1.0.4')
('npm:media-typer', '0.3.0')
('npm:path-is-inside', '1.0.2')
('npm:raw-body', '2.4.0')
('npm:verror', '1.10.0')
('npm:pretty-format', '25.5.0')
('npm:end-of-stream', '1.4.4')
('npm:@babel/helper-validator-identifier', '7.9.5')
('npm:color-name', '1.1.3')
('npm:union-value', '1.0.1')
('npm:abbrev', '1.1.1')
('npm:symbol-tree', '3.2.4')
('npm:jest-snapshot', '25.5.1')
('npm:bluebird', '3.7.2')
('npm:semver-compare', '1.0.0')
('npm:escape-string-regexp', '1.0.5')
('npm:picomatch', '2.2.1')
('npm:expect', '25.5.0')
('npm:string-length', '3.1.0')
('npm:webidl-conversions', '4.0.2')
('npm:@sinonjs/commons', '1.7.2')
('npm:is-number', '7.0.0')
('npm:external-editor', '3.1.0')
('npm:p-try', '2.2.0')
('npm:inquirer', '7.0.3')
('npm:ip-regex', '2.1.0')
('npm:js-yaml', '3.13.1')
('npm:currently-unhandled', '0.4.1')
('npm:next-tick', '1.0.0')
('npm:doctrine', '3.0.0')
('npm:strip-indent', '1.0.1')
('npm:yallist', '2.1.2')
('npm:moleculer-fake', '1.0.14')
('npm:es6-weak-map', '0.1.4')
('npm:picomatch', '2.2.2')
('npm:on-finished', '2.3.0')
('npm:window-size', '0.1.0')
('npm:remove-trailing-separator', '1.1.0')
('npm:yargs-parser', '18.1.3')
('npm:mongoose-legacy-pluralize', '1.0.2')
('npm:ci-info', '1.1.3')
('npm:yargs-parser', '13.1.2')
('npm:jsesc', '2.5.2')
('npm:lodash.isstring', '4.0.1')
('npm:is-extglob', '2.1.1')
('npm:path-is-absolute', '1.0.1')
('npm:slash', '3.0.0')
('npm:cli-color', '0.3.2')
('npm:redis-commands', '1.5.0')
('npm:underscore', '1.4.4')
('npm:fakerator', '0.3.1')
('npm:ipaddr.js', '1.9.1')
('npm:os-tmpdir', '1.0.2')
('npm:process-nextick-args', '2.0.1')
('npm:istanbul-lib-source-maps', '4.0.0')
