('npm:@dnd-kit/utilities', '3.2.1')
('npm:@graphql-codegen/visitor-plugin-common', '2.13.1')
('npm:@storybook/channel-websocket', '7.0.5')
('rust:tracing', '>= 0.1.40,< 0.2.0')
('npm:levn', '0.3.0')
('npm:use-composed-ref', '1.3.0')
('npm:@smithy/middleware-stack', '2.2.0')
('npm:next-seo', '6.1.0')
('npm:debuglog', '1.0.1')
('npm:lodash._getnative', '3.9.1')
('npm:@types/d3-quadtree', '3.0.2')
('rust:gloo-utils', '0.1.7')
('npm:@smithy/querystring-builder', '2.2.0')
('rust:windows_x86_64_gnullvm', '0.52.6')
('npm:minimalistic-assert', '1.0.1')
('npm:statuses', '1.5.0')
('npm:commander', '8.3.0')
('npm:unicode-match-property-ecmascript', '2.0.0')
('npm:chokidar', '3.5.3')
('npm:array-union', '2.1.0')
('npm:d3-scale', '4.0.2')
('npm:@mui/icons-material', '5.15.7')
('npm:tapable', '2.2.1')
('npm:@babel/plugin-transform-destructuring', '7.24.1')
('npm:@aws-sdk/credential-provider-env', '3.587.0')
('npm:mdast-util-definitions', '4.0.0')
('rust:wasm-bindgen-macro', '0.2.92')
('npm:pdf-parse', '1.1.1')
('npm:terser-webpack-plugin', '5.3.10')
('npm:@aws-sdk/s3-presigned-post', '3.436.0')
('npm:min-indent', '1.0.1')
('rust:scoped-tls', '1.0.1')
('npm:@emotion/is-prop-valid', '0.8.8')
('npm:ws', '8.14.2')
('npm:@types/express-serve-static-core', '4.17.29')
('npm:array.prototype.findlast', '1.2.4')
('npm:@apps/plugin-browser', '0.0.8')
('npm:react-docgen', '5.4.3')
('npm:@smithy/util-stream', '3.0.1')
('npm:turbo-darwin-64', '2.0.6')
('npm:agent-base', '7.1.1')
('npm:@typescript-eslint/typescript-estree', '5.62.0')
