('npm:cssom', '0.3.8')
('npm:glob', '8.0.3')
('rust:glib-macros', '0.15.13')
('npm:@mui/material', '5.15.15')
('npm:@types/long', '4.0.1')
('rust:block-buffer', '0.10.4')
('npm:enquirer', '2.3.6')
('npm:minimatch', '5.1.6')
('rust:rand_chacha', '0.2.2')
('npm:array.prototype.reduce', '1.0.7')
('npm:mlly', '1.6.1')
('npm:@webassemblyjs/wasm-opt', '1.9.0')
('npm:objectorarray', '1.0.5')
('rust:hyper-util', '0.1.3')
('npm:caniuse-lite', '1.0.30001547')
('npm:object-inspect', '1.13.0')
('npm:shiki', '0.14.5')
('rust:sysinfo', '0.27.8')
('rust:windows_x86_64_msvc', '0.37.0')
('rust:memchr', '2.5.0')
('rust:hkdf', '0.11.0')
('npm:keyvaluestorage-interface', '1.0.0')
('npm:is-path-cwd', '2.2.0')
('rust:tokio-rustls', '0.25.0')
('npm:@nx/devkit', '16.10.0')
('npm:emittery', '0.13.1')
('rust:prost-types', '0.11.9')
('rust:curve25519-dalek', '4.1.1')
('npm:buffer-from', '1.1.2')
('npm:exit', '0.1.2')
('npm:jest-docblock', '29.7.0')
('npm:is-decimal', '1.0.4')
('npm:es6-iterator', '2.0.3')
('npm:md5.js', '1.3.5')
('npm:map-obj', '1.0.1')
('npm:@types/bonjour', '3.5.10')
('npm:regenerate-unicode-properties', '10.1.1')
('npm:object-is', '1.1.5')
('npm:sane', '4.1.0')
('rust:windows_x86_64_gnullvm', '0.48.5')
('npm:pretty-error', '2.1.2')
('rust:subtle', '2.4.1')
('npm:@types/yargs', '16.0.4')
('rust:openssl', '0.10.62')
('npm:@rollup/plugin-terser', '^ 0.2.1')
('npm:@img/sharp-libvips-darwin-arm64', '1.0.2')
('npm:regexp.prototype.flags', '1.5.0')
('rust:url', '>= 2.2.0,< 3.0.0')
('npm:app-root-dir', '1.0.2')
('npm:estree-walker', '2.0.2')
('npm:reusify', '1.0.4')
('npm:rxjs', '7.8.1')
('npm:@react-aria/tooltip', '3.7.2')
('npm:typed-array-byte-offset', '1.0.2')
('npm:babel-plugin-jest-hoist', '28.1.3')
('npm:webpack-sources', '1.4.3')
('rust:proc-macro-crate', '1.3.1')
('npm:asn1.js', '4.10.1')
('npm:electron-to-chromium', '1.4.92')
('npm:is-window', '1.0.2')
('npm:eslint-plugin-react-hooks', '4.6.0')
('npm:hosted-git-info', '6.1.1')
('npm:caniuse-lite', '1.0.30001282')
('npm:find-up', '2.1.0')
('rust:funty', '2.0.0')
('rust:serde_json', '>= 1.0.66,< 2.0.0')
('rust:toml_datetime', '0.6.6')
('npm:has-ansi', '2.0.0')
('npm:expand-template', '2.0.3')
('npm:jest-worker', '26.6.2')
('rust:signature', '1.6.4')
('npm:pretty-format', '28.1.3')
('npm:bip39', '3.1.0')
('rust:ahash', '0.7.7')
('npm:colorette', '2.0.16')
('npm:combined-stream', '1.0.8')
('npm:electron-to-chromium', '1.4.551')
('npm:string.prototype.trimstart', '1.0.6')
('npm:cross-fetch', '4.0.0')
('npm:@types/node', '^ 16.7.13')
('npm:no-case', '3.0.4')
('npm:@jest/console', '27.5.1')
('npm:are-we-there-yet', '3.0.1')
('npm:webpack', '5.91.0')
('rust:rand_hc', '0.1.0')
('npm:destroy', '1.2.0')
('npm:interpret', '1.4.0')
('npm:yargs-parser', '21.1.1')
('rust:nym-mixnet-contract-common', '>= 0.6.0,< 0.7.0')
('npm:remove-accents', '0.4.2')
('npm:@types/babel__generator', '7.6.5')
('rust:comfy-table', '6.2.0')
('npm:assert', '1.5.1')
('npm:jest-cli', '27.5.1')
('npm:wcwidth', '1.0.1')
('npm:@msgpackr-extract/msgpackr-extract-linux-arm64', '3.0.2')
('npm:eastasianwidth', '0.2.0')
('npm:error-ex', '1.3.2')
('npm:ignore-by-default', '1.0.1')
('rust:tracing-futures', '0.2.5')
('npm:axe-core', '4.8.2')
('rust:wasm-bindgen', '0.2.90')
('npm:ts-node', '7.0.1')
('npm:p-iteration', '1.1.8')
('rust:num-traits', '0.2.17')
('npm:@yarnpkg/lockfile', '1.1.0')
('rust:simd-adler32', '0.3.7')
('npm:saxes', '5.0.1')
('npm:@mui/private-theming', '5.15.14')
('npm:on-headers', '1.0.2')
('npm:shallow-clone', '3.0.1')
('npm:@types/http-errors', '2.0.4')
('rust:addr2line', '0.21.0')
('npm:string.prototype.trimend', '1.0.6')
('npm:@babel/helper-plugin-utils', '7.24.0')
('npm:chokidar', '3.5.2')
('npm:slash', '4.0.0')
('npm:babel-preset-jest', '28.1.3')
('npm:edge-paths', '2.2.1')
('npm:@octokit/rest', '19.0.11')
('npm:ufo', '1.5.3')
('rust:flate2', '1.0.30')
('npm:language-subtag-registry', '0.3.22')
('rust:crc-catalog', '1.1.1')
('npm:@babel/plugin-syntax-bigint', '7.8.3')
('rust:tendermint', '0.34.0')
('npm:@babel/plugin-syntax-class-static-block', '7.14.5')
('rust:bitvec', '1.0.1')
('rust:windows_aarch64_gnullvm', '0.52.0')
('npm:@typescript-eslint/type-utils', '5.12.0')
('npm:qs', '6.11.0')
('npm:es-module-lexer', '0.9.3')
('npm:miller-rabin', '4.0.1')
('npm:form-data', '3.0.1')
('npm:@babel/plugin-transform-parameters', '7.22.5')
('rust:colored', '>= 2.0.0,< 3.0.0')
('npm:mimic-response', '2.1.0')
('rust:nym-node-requests', '0.1.0')
('npm:is-async-function', '2.0.0')
('npm:@babel/plugin-transform-react-jsx-development', '7.22.5')
('npm:@babel/types', '7.16.0')
('rust:camino', '1.1.7')
('rust:ahash', '0.7.8')
('rust:pest', '2.7.2')
('npm:@img/sharp-libvips-linux-arm64', '1.0.2')
('rust:subtle', '2.5.0')
('npm:selfsigned', '2.4.1')
('npm:d3-scale', '^ 4.0.0')
('rust:fern', '>= 0.6.1,< 0.7.0')
