('pip:jsonschema', '3.2.0')
('pip:werkzeug', '2.0.3')
('pip:pytest-aiohttp', '0.3.0')
('pip:asynctest', '0.13.0')
('pip:pytest-cov', '3.0.0')
('pip:httpretty', '0.8.10')
('pip:kombu', '4.0.2')
('pip:httpretty', '1.0.5')
('pip:importlib-metadata', '6.0.0')
('pip:jinja2', '3.0.3')
('pip:gunicorn', '22.0.0')
('pip:pydantic', '1.10.15')
('pip:requests', '2.32.3')
('pip:googleapis-common-protos', '1.63.1')
('pip:py-cpuinfo', '9.0.0')
('pip:memray', '1.12.0')
('pip:markupsafe', '2.1.3')
('pip:jsonpickle', '3.0.3')
('pip:pytest', '7.4.0')
('pip:jinja2', '3.1.4')
('pip:pbr', '6.0.0')
('pip:starlette', '0.37.2')
('pip:wrapt', '1.16.0')
('pip:grpcio', '1.49.1')
('pip:boto3', '1.34.6')
('actions:docker/setup-buildx-action', '2.*.*')
('pip:pymemcache', '4.0.0')
('pip:jaraco-collections', '5.0.0')
('pip:jsonpointer', '3.0.0')
('pip:protobuf', '3.20.3')
('pip:aiofiles', '23.2.1')
('pip:mock', '5.0.1')
('pip:langchain-cohere', '0.1.7')
('pip:contextlib2', '0.6.0.post1')
('pip:zope-event', '5.0')
('pip:opentelemetry-api', '1.3.0')
('pip:asn1crypto', '1.5.1')
('pip:sanic-routing', '23.6.0')
('pip:prompt-toolkit', '3.0.36')
('pip:pytest-asyncio', '0.21.2')
('pip:beautifulsoup4', '4.11.2')
('pip:sqlalchemy', '2.0.29')
('pip:botocore', '1.19.63')
('pip:numpy', '1.26.3')
('pip:itsdangerous', '1.1.0')
('pip:aiosignal', '1.3.1')
('pip:matplotlib', '3.8.2')
('pip:sanic-testing', '22.3.1')
('pip:amqp', '5.1.1')
('pip:attrs', '22.1.0')
('pip:aws-xray-sdk', '2.11.0')
('pip:python-jose', '3.3.0')
('pip:redis', '3.0.1')
('pip:twisted', '23.8.0')
('pip:sanic-testing', '0.8.3')
('pip:elasticsearch', '7.17.9')
('pip:ujson', '5.7.0')
('pip:confluent-kafka', '1.5.0')
('pip:typing-inspect', '0.9.0')
('pip:elasticsearch', '8.12.1')
('pip:tornado', '5.1.1')
('pip:coverage', '5.5')
('pip:websockets', '12.0')
('pip:sympy', '1.12')
('pip:fastavro', '1.9.4')
('pip:pyyaml', '6.0')
('pip:pytest-randomly', '3.12.0')
('pip:pytest-cov', '2.12.0')
('pip:cycler', '0.12.1')
('pip:langchain-community', '0.2.4')
('pip:chardet', '3.0.4')
('pip:anyio', '4.3.0')
('pip:aiocontextvars', '0.2.2')
('pip:cohere', '5.4.0')
('pip:venusian', '3.1.0')
('pip:packaging', '20.9')
('rust:target-lexicon', '0.12.14')
('pip:bytecode', '>= 0.13.0')
('pip:idna', '3.7')
('pip:botocore', '1.34.120')
('pip:pylons', '1.0.3')
