('npm:@babel/types', '7.12.1')
('npm:no-case', '3.0.4')
('npm:@types/cheerio', '0.22.22')
('npm:destroy', '1.2.0')
('npm:interpret', '1.4.0')
('npm:postcss-message-helpers', '2.0.0')
('npm:expect', '24.9.0')
('npm:@chakra-ui/transition', '1.4.2')
('npm:domutils', '1.5.1')
('npm:js-tokens', '3.0.2')
('rubygems:forwardable-extended', '2.6.0')
('npm:array-includes', '3.1.1')
('npm:wcwidth', '1.0.1')
('npm:@formatjs/intl-listformat', '6.5.3')
('npm:jest-resolve', '26.6.2')
('npm:@babel/plugin-transform-function-name', '7.16.7')
('npm:error-ex', '1.3.2')
('npm:puppeteer-core', '1.18.1')
('npm:fsevents', '2.1.2')
('npm:@emotion/is-prop-valid', '1.1.0')
('npm:regextras', '0.7.1')
('npm:tape', '4.16.1')
('npm:saxes', '5.0.1')
('npm:@chakra-ui/slider', '1.5.3')
('npm:fast-sort', '2.2.0')
('npm:on-headers', '1.0.2')
('npm:shallow-clone', '3.0.1')
('npm:import-cwd', '2.1.0')
('npm:react-icons', '4.2.0')
('npm:nopt', '3.0.6')
('npm:postcss-load-config', '2.1.2')
('npm:colorette', '1.2.1')
('npm:enhanced-resolve', '5.8.2')
('npm:chokidar', '3.5.2')
('npm:@types/is-function', '1.0.0')
('npm:jest-environment-jsdom-fourteen', '1.0.1')
('npm:type', '2.1.0')
('npm:is-glob', '2.0.1')
('npm:@react-dnd/asap', '4.0.0')
('npm:contains-path', '0.1.0')
('npm:url-loader', '^ 2.0.1')
('npm:postcss-convert-values', '2.6.1')
('rubygems:jekyll-optional-front-matter', '0.3.2')
('npm:@babel/plugin-proposal-optional-catch-binding', '7.10.1')
('npm:@babel/plugin-syntax-bigint', '7.8.3')
('npm:framesync', '5.3.0')
('npm:object-hash', '2.0.3')
('npm:@babel/plugin-syntax-class-static-block', '7.14.5')
('npm:follow-redirects', '1.15.0')
('npm:@types/d3-path', '2.0.0')
('npm:node-notifier', '6.0.0')
('npm:miller-rabin', '4.0.1')
('npm:@sinonjs/formatio', '4.0.1')
('npm:form-data', '3.0.1')
('npm:@jest/core', '27.1.0')
('npm:pretty-bytes', '5.4.1')
('npm:builtin-modules', '3.1.0')
('npm:command-exists', '1.2.9')
('npm:postcss-nesting', '7.0.1')
('npm:jss-plugin-rule-value-function', '10.9.0')
('npm:@babel/plugin-transform-dotall-regex', '7.14.5')
('npm:hash-sum', '2.0.0')
('npm:jest-each', '26.6.1')
('npm:@babel/plugin-proposal-dynamic-import', '7.10.1')
('npm:@babel/plugin-transform-react-jsx-self', '7.10.1')
('npm:unist-util-is', '4.0.4')
('npm:@babel/plugin-transform-template-literals', '7.12.1')
('npm:deep-diff', '0.3.8')
('npm:nan', '2.14.2')
('npm:@types/react-dom', '17.0.9')
('rubygems:rb-inotify', '0.10.1')
('npm:@emotion/sheet', '1.0.1')
('npm:internal-ip', '4.3.0')
('npm:commondir', '1.0.1')
('npm:css-select-base-adapter', '0.1.1')
('npm:filelist', '1.0.1')
('npm:jsesc', '2.5.2')
