('npm:url-parse', '1.5.10')
('composer:sebastian/type', '3.2.1')
('composer:amphp/parser', '1.1.1')
('npm:sass', '1.77.4')
('npm:regenerate-unicode-properties', '10.1.1')
('composer:sebastian/comparator', '4.0.8')
('npm:@babel/plugin-transform-json-strings', '7.24.7')
('composer:amphp/process', '1.1.7')
('composer:laminas/laminas-cache-storage-adapter-redis', '2.9.0')
('composer:mezzio/mezzio', '3.19.0')
('npm:@babel/plugin-transform-member-expression-literals', '7.24.7')
('npm:@esbuild/aix-ppc64', '0.21.5')
('npm:immutable', '4.3.6')
('npm:aws-sign2', '0.7.0')
('npm:hasown', '2.0.2')
('npm:@babel/plugin-transform-classes', '7.24.7')
('npm:diff-sequences', '29.6.3')
('npm:@babel/plugin-transform-class-properties', '7.24.7')
('npm:@eslint/js', '9.6.0')
('npm:npm-run-path', '4.0.1')
('npm:jsesc', '0.5.0')
('npm:@esbuild/win32-x64', '0.21.5')
('composer:amphp/serialization', '1.0.0')
('npm:@esbuild/openbsd-x64', '0.21.4')
('npm:@babel/plugin-transform-typeof-symbol', '7.24.7')
('composer:sebastian/code-unit-reverse-lookup', '3.0.0')
('composer:symfony/dom-crawler', '6.4.8')
('npm:get-package-type', '0.1.0')
('npm:is-binary-path', '2.1.0')
('npm:balanced-match', '1.0.2')
('npm:optionator', '0.9.4')
('npm:argparse', '1.0.10')
('composer:psr/cache', '1.0.1')
('composer:amphp/windows-registry', '0.3.3')
('composer:composer/pcre', '3.1.4')
('composer:sebastian/object-enumerator', '4.0.4')
('composer:laminas/laminas-stratigility', '3.11.0')
('npm:signal-exit', '3.0.7')
('npm:@types/json-schema', '7.0.12')
('npm:@types/node', '20.5.9')
('npm:execa', '5.1.1')
('npm:parse5', '7.1.2')
('npm:jest-matcher-utils', '29.7.0')
('npm:source-map-support', '0.5.21')
('composer:laminas/laminas-development-mode', '3.12.0')
('npm:@esbuild/sunos-x64', '0.21.5')
('npm:dom-accessibility-api', '0.5.16')
('npm:type-check', '0.4.0')
('npm:reusify', '1.0.4')
('npm:rxjs', '7.8.1')
('composer:symfony/css-selector', '6.4.8')
('npm:@esbuild/netbsd-x64', '0.21.4')
('npm:@babel/plugin-bugfix-firefox-class-in-computed-class-key', '7.24.7')
('npm:@jridgewell/set-array', '1.2.1')
('npm:deep-is', '0.1.4')
('composer:symfony/http-client', '6.2.13')
('composer:pact-foundation/pact-php', '7.2.0')
('composer:masterminds/html5', '2.9.0')
('npm:electron-to-chromium', '1.4.816')
('npm:cjs-module-lexer', '1.3.1')
('npm:glob-to-regexp', '0.4.1')
('go:github.com/aws/aws-sdk-go-v2/service/internal/presigned-url', '1.11.9')
('npm:core-js', '3.37.1')
('npm:@types/node', '20.14.9')
('npm:tmpl', '1.0.5')
('npm:escodegen', '2.1.0')
('composer:symfony/filesystem', '7.1.2')
('pip:json-lines', '')
('go:github.com/aws/aws-sdk-go-v2/config', '1.27.16')
('npm:lru-cache', '5.1.1')
('go:github.com/jmespath/go-jmespath', '0.4.0')
('actions:unfor19/install-aws-cli-action', '27d6061dae5d39e89be4d2246824f15e111a7e06')
('npm:@babel/plugin-transform-logical-assignment-operators', '7.24.7')
('npm:@ministryofjustice/frontend', '2.1.3')
('composer:netresearch/jsonmapper', '4.4.1')
('npm:@babel/plugin-transform-exponentiation-operator', '7.24.7')
('npm:babel-preset-jest', '29.6.3')
('npm:lz-string', '1.5.0')
('npm:@babel/plugin-syntax-object-rest-spread', '7.8.3')
('npm:espree', '10.1.0')
('npm:indent-string', '4.0.0')
('npm:ansi-styles', '3.2.1')
('composer:sebastian/object-reflector', '2.0.4')
('npm:dashdash', '1.14.1')
('npm:jest-resolve-dependencies', '29.7.0')
('composer:amphp/socket', '1.2.1')
('npm:jest-config', '29.7.0')
('npm:sisteransi', '1.0.5')
('npm:@babel/plugin-transform-template-literals', '7.24.7')
('composer:phpunit/php-code-coverage', '9.2.31')
('npm:cliui', '8.0.1')
('composer:phpunit/php-text-template', '2.0.4')
('npm:webidl-conversions', '7.0.0')
('npm:@esbuild/freebsd-x64', '0.21.4')
('go:github.com/rs/xid', '1.5.0')
('npm:@babel/plugin-transform-object-super', '7.24.7')
('npm:jest-diff', '29.7.0')
('composer:phpunit/phpunit', '9.6.19')
('npm:events', '3.3.0')
('composer:laminas/laminas-filter', '2.35.2')
('npm:supports-color', '7.2.0')
('npm:globals', '11.12.0')
('actions:aquasecurity/trivy-action', 'd9cd5b1c23aaf8cb31bb09141028215828364bbb')
('composer:psr/log', '2.0.0')
('composer:amphp/dns', '1.2.3')
('npm:@babel/plugin-transform-for-of', '7.24.7')
('pip:boto3', '1.34.117')
('npm:json-buffer', '3.0.1')
('npm:extsprintf', '1.3.0')
('npm:@jest/schemas', '29.6.3')
('npm:chokidar', '3.6.0')
('npm:semver', '6.3.1')
('npm:@babel/template', '7.24.7')
('npm:combined-stream', '1.0.8')
('npm:http-signature', '1.2.0')
('composer:psr/container', '1.1.2')
('go:github.com/aws/aws-sdk-go-v2/service/dynamodb', '1.32.6')
('go:github.com/aws/aws-sdk-go-v2/feature/dynamodb/attributevalue', '1.13.20')
('npm:@babel/plugin-transform-dotall-regex', '7.24.7')
('npm:saxes', '6.0.0')
('npm:@babel/plugin-syntax-jsx', '7.24.7')
('npm:@adobe/css-tools', '4.4.0')
('composer:dnoegel/php-xdg-base-dir', '0.1.1')
('composer:dmore/behat-chrome-extension', '1.4.0')
('npm:css.escape', '1.5.1')
('npm:wrap-ansi', '7.0.0')
('npm:@babel/plugin-transform-optional-chaining', '7.24.7')
('npm:@esbuild/freebsd-arm64', '0.21.5')
('npm:bser', '2.1.1')
('npm:@esbuild/darwin-x64', '0.21.5')
('npm:sass-embedded-darwin-x64', '1.77.5')
('composer:friends-of-behat/mink-extension', '2.7.5')
('npm:is-glob', '4.0.3')
('composer:laminas/laminas-diactoros', '3.3.1')
('composer:symfony/translation', '7.1.1')
('npm:istanbul-lib-instrument', '5.2.1')
('npm:@eslint/object-schema', '2.1.4')
('npm:@babel/plugin-transform-class-static-block', '7.24.7')
('npm:@babel/plugin-syntax-private-property-in-object', '7.14.5')
('npm:sass', '1.77.6')
('npm:esrecurse', '4.3.0')
('npm:undici-types', '5.26.5')
('npm:yargs-parser', '21.1.1')
('npm:@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining', '7.24.7')
('npm:caseless', '0.12.0')
('npm:punycode', '2.3.1')
('composer:phpunit/php-invoker', '4.0.0')
('npm:chalk', '4.1.2')
('npm:@babel/highlight', '7.24.7')
('npm:convert-source-map', '2.0.0')
('npm:tweetnacl', '0.14.5')
('npm:@jridgewell/gen-mapping', '0.3.3')
('npm:@eslint-community/eslint-utils', '4.4.0')
('npm:callsites', '3.1.0')
('composer:filp/whoops', '2.15.4')
('npm:acorn-import-assertions', '1.9.0')
('composer:symfony/polyfill-intl-grapheme', '1.30.0')
('npm:fs-readdir-recursive', '1.1.0')
('composer:sebastian/version', '4.0.1')
('npm:safer-buffer', '2.1.2')
('npm:jsbn', '0.1.1')
('npm:@types/yargs', '17.0.32')
('composer:php-di/php-di', '7.0.6')
('pip:simplejson', '')
('composer:firebase/php-jwt', '6.10.1')
('npm:regenerator-runtime', '0.14.1')
('npm:@nodelib/fs.walk', '1.2.8')
('npm:is-fullwidth-code-point', '3.0.0')
('composer:web-token/jwt-signature-algorithm-rsa', '3.4.3')
('npm:ws', '8.17.1')
('npm:domexception', '4.0.0')
