,Repo_id,URL,VAG,AWS,AZ,PUP,TF/OT,SS,PUL,BIC,DOCK,CHEF,GOOG,KUB,ANS,Validated files,IaC_tools
96,microservices-demo_front-end,https://github.com/microservices-demo/front-end,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
97,RedHatInsights_vmaas,https://github.com/RedHatInsights/vmaas,0,0,0,0,0,0,0,0,1,0,0,1,0,,"DOCK, KUB"
98,dainst_cilantro,https://github.com/dainst/cilantro,0,0,0,0,0,0,0,0,1,0,0,0,0,,DOCK
99,hypertrace_hypertrace-service,https://github.com/hypertrace/hypertrace-service,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
100,moira-alert_moira,https://github.com/moira-alert/moira,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
101,HubSpot_Baragon,https://github.com/HubSpot/Baragon,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
102,DaisukeHirata_express-typescript-openapi3,https://github.com/DaisukeHirata/express-typescript-openapi3,0,1,0,0,0,0,0,0,1,0,0,0,1,{'TF/OT': '/Users/mrobredo23/DaisukeHirata_express-typescript-openapi3/image-resizer-service/.serverless/cloudformation-template-create-stack.json'},"AWS, DOCK, ANS"
103,wazo-platform_wazo-auth,https://github.com/wazo-platform/wazo-auth,0,0,0,0,0,0,0,0,1,0,0,0,0,,DOCK
104,nextcloud_docker,https://github.com/nextcloud/docker,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
105,ProjectEKA_consent-manager,https://github.com/ProjectEKA/consent-manager,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
106,digirati-co-uk_madoc-platform,https://github.com/digirati-co-uk/madoc-platform,0,1,0,0,0,0,0,0,1,0,0,0,1,{'TF/OT': '/Users/mrobredo23/digirati-co-uk_madoc-platform/services/madoc-ts/translations/nl/madoc.json'},"AWS, DOCK, ANS"
107,wazo-platform_wazo-calld,https://github.com/wazo-platform/wazo-calld,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
108,cyber-dojo_runner,https://github.com/cyber-dojo/runner,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
109,topcoder-platform_tc-project-service,https://github.com/topcoder-platform/tc-project-service,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
110,ikemtz_Nurser,https://github.com/ikemtz/Nurser,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
111,MAIF_izanami,https://github.com/MAIF/izanami,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
112,RasaHQ_rasa-sdk,https://github.com/RasaHQ/rasa-sdk,0,0,0,0,0,0,0,0,1,0,0,0,0,,DOCK
113,Greenstand_treetracker-admin,https://github.com/Greenstand/treetracker-admin,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
114,SoftwareAG_sagdevops-templates,https://github.com/SoftwareAG/sagdevops-templates,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
115,gnosis_safe-transaction-service,https://github.com/gnosis/safe-transaction-service,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
116,overture-stack_score,https://github.com/overture-stack/score,0,0,0,0,0,0,0,0,1,0,0,0,0,,DOCK
117,HBPMedical_mip-deployment,https://github.com/HBPMedical/mip-deployment,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
118,Combitech_codefarm,https://github.com/Combitech/codefarm,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
119,shopgate_connect-integration-sdk,https://github.com/shopgate/connect-integration-sdk,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
120,piomin_sample-spring-microservices,https://github.com/piomin/sample-spring-microservices,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
121,hobbit-project_platform,https://github.com/hobbit-project/platform,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
122,OpenLMIS_openlmis-ref-distro,https://github.com/OpenLMIS/openlmis-ref-distro,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
123,OADA_oada-srvc-docker,https://github.com/OADA/oada-srvc-docker,0,0,0,0,0,0,0,0,1,0,0,1,1,,"DOCK, KUB, ANS"
